Time,Total Memory,Free Memory,Current JVM Threads,Max JVM Threads,Total Sessions,Max Sessions,Session Average Time,Running Service Threads,Max Running Service Threads,Request Average Time,New Requests,Completed Requests
2022-09-24 10:29:29 CEST,268435456,50346032,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:30:29 CEST,268435456,48861560,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:31:29 CEST,268435456,47353984,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:32:29 CEST,268435456,79514240,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:33:29 CEST,268435456,72683920,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:34:29 CEST,268435456,71105048,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:35:29 CEST,268435456,69993352,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:36:29 CEST,268435456,68461968,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:37:29 CEST,268435456,107924432,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:38:29 CEST,268435456,100661528,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:39:29 CEST,268435456,99310496,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:40:29 CEST,268435456,97840592,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:41:29 CEST,268435456,96664920,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:42:29 CEST,268435456,39754072,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:43:29 CEST,268435456,115896952,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:44:29 CEST,268435456,114511456,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:45:29 CEST,268435456,113320424,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:46:29 CEST,268435456,111973072,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:47:29 CEST,268435456,76584504,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:48:30 CEST,268435456,69018120,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:49:30 CEST,268435456,67913088,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:50:30 CEST,268435456,66661384,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:51:30 CEST,268435456,65188456,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:52:30 CEST,268435456,110762080,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:53:30 CEST,268435456,103189944,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:54:30 CEST,268435456,102015376,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:55:30 CEST,268435456,100593672,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:56:30 CEST,268435456,99117736,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:57:30 CEST,268435456,54331112,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:58:30 CEST,268435456,47031184,138,139,1,12,0,0,1,0,0,0
2022-09-24 10:59:30 CEST,268435456,45499224,138,139,1,12,0,0,1,0,0,0
2022-09-24 11:00:30 CEST,268435456,44191920,138,139,1,12,0,0,1,0,0,0
2022-09-24 11:01:30 CEST,268435456,43090528,138,139,1,12,0,0,1,0,0,0
2022-09-24 11:02:30 CEST,268435456,90527232,138,139,1,12,0,0,1,0,0,0
